id,case_number,date,block,iucr_code,location_desc,arrest,domestic,beat_num,district_code,ward_no,community_code,fbi_code,x_coordinate,y_coordinate,year,date_of_update,latitude,longitude,location
10509558,HZ251052,5/3/2016,001XX E 104TH PL,560,SIDEWALK,FALSE,FALSE,512,5,9,49,08A,1179094,1835637,2016,5/10/2016,41.70427604,-87.61979792,"(41.704276039, -87.619797922)"
10509579,HZ251110,5/3/2016,079XX S BLACKSTONE AVE,1310,RESIDENCE,FALSE,FALSE,411,4,8,45,14,1187546,1852538,2016,5/10/2016,41.75045785,-87.58831279,"(41.750457849, -87.588312792)"
10509582,HZ251083,5/3/2016,030XX S KEDZIE AVE,1153,SMALL RETAIL STORE,FALSE,FALSE,1032,10,12,30,11,1155512,1884264,2016,5/10/2016,41.8382197,-87.70485067,"(41.838219696, -87.704850674)"
10509606,HZ251117,5/3/2016,054XX W HIGGINS AVE,910,OTHER,FALSE,FALSE,1623,16,45,11,7,1139224,1931886,2016,5/10/2016,41.96921161,-87.7634591,"(41.969211609, -87.763459102)"
10509660,HZ251032,5/3/2016,052XX S STATE ST,2850,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,225,2,3,40,26,1177170,1870046,2016,5/10/2016,41.79874193,-87.62580711,"(41.798741929, -87.62580711)"
10509694,HZ251105,5/3/2016,080XX S PAULINA ST,820,STREET,FALSE,FALSE,611,6,21,71,6,1166410,1851364,2016,5/10/2016,41.74771234,-87.66579808,"(41.747712344, -87.665798083)"
10509700,HZ249871,5/3/2016,093XX S WENTWORTH AVE,460,SIDEWALK,FALSE,FALSE,634,6,21,49,08B,1176590,1843118,2016,5/10/2016,41.7248615,-87.62874294,"(41.724861497, -87.628742936)"
10509702,HZ251095,5/3/2016,075XX S LANGLEY AVE,810,APARTMENT,FALSE,FALSE,624,6,6,69,6,1182201,1855156,2016,5/10/2016,41.75776725,-87.60781822,"(41.757767253, -87.607818223)"
10509709,HZ251194,5/3/2016,020XX S WESTERN AVE,820,CTA TRAIN,FALSE,FALSE,1023,10,25,31,6,1160686,1890209,2016,5/10/2016,41.85442795,-87.68570021,"(41.854427952, -87.685700213)"
10509724,HZ251141,5/3/2016,050XX N PAULINA ST,560,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,2032,20,47,3,08A,1164323,1933390,2016,5/10/2016,41.97284344,-87.67112723,"(41.972843435, -87.671127232)"
10509764,HZ249689,5/3/2016,061XX S MORGAN ST,820,APARTMENT,FALSE,FALSE,712,7,16,68,6,1170696,1864158,2016,5/10/2016,41.78272837,-87.64972028,"(41.782728365, -87.649720276)"
10509769,HZ251010,5/3/2016,014XX N AVERS AVE,320,SIDEWALK,FALSE,FALSE,2535,25,30,23,3,1150444,1909392,2016,5/10/2016,41.90727403,-87.72279189,"(41.907274031, -87.722791892)"
10509770,HZ250329,5/3/2016,048XX W EDDY ST,486,APARTMENT,FALSE,TRUE,1634,16,38,15,08B,1143575,1923186,2016,5/10/2016,41.94525754,-87.74767892,"(41.945257538, -87.74767892)"
10509783,HZ251242,5/3/2016,013XX E 72ND ST,460,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,324,3,5,43,08B,1186321,1857530,2016,5/10/2016,41.76418539,-87.5926442,"(41.764185391, -87.592644199)"
10509784,HZ251276,5/3/2016,062XX N NEWCASTLE AVE,810,STREET,FALSE,FALSE,1611,16,41,10,6,1130189,1940933,2016,5/10/2016,41.99419755,-87.79647287,"(41.994197554, -87.796472871)"
10509800,HZ251202,5/3/2016,065XX N WHIPPLE ST,910,STREET,FALSE,FALSE,2412,24,50,2,7,1154820,1943117,2016,5/10/2016,41.99973106,-87.70580971,"(41.99973106, -87.705809711)"
